<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,19940328,000000,1.0232,1.0541,1.0154,1.0304,81383309,0
AAPL.US,D,19940329,000000,1.0304,1.0466,0.9996,1.0154,61493908,0
AAPL.US,D,19940330,000000,1.007,1.0304,0.9845,1.007,48910632,0
AAPL.US,D,19940331,000000,1.007,1.0391,0.9772,1.0304,60210092,0
AAPL.US,D,19940404,000000,0.9996,1.0304,0.9845,1.0304,48471931,0
AAPL.US,D,19940405,000000,1.0466,1.0613,1.0391,1.0391,28195470,0
AAPL.US,D,19940406,000000,1.0541,1.0541,1.0154,1.0391,37178906,0
AAPL.US,D,19940407,000000,1.0391,1.0466,1.0154,1.0355,22282840,0
AAPL.US,D,19940408,000000,1.0466,1.0541,1.0304,1.0391,50933110,0
AAPL.US,D,19940411,000000,1.0391,1.0391,1.007,1.0391,30766313,0
AAPL.US,D,19940412,000000,1.0355,1.0355,0.9845,0.9919,39407832,0
AAPL.US,D,19940413,000000,0.9996,1.007,0.9684,0.9845,67145253,0
AAPL.US,D,19940414,000000,0.9449,0.9845,0.93,0.9772,63935735,0
AAPL.US,D,19940415,000000,0.9684,0.9772,0.93,0.9376,54245854,0
AAPL.US,D,19940418,000000,0.9449,0.9449,0.9064,0.9188,66325933,0
AAPL.US,D,19940419,000000,0.9224,0.93,0.8828,0.899,47881641,0
AAPL.US,D,19940420,000000,0.9064,0.93,0.8682,0.8753,81173643,0
AAPL.US,D,19940421,000000,0.8828,0.9449,0.837,0.9188,118236419,0
AAPL.US,D,19940422,000000,0.9684,0.9919,0.8828,0.9224,200977726,0
AAPL.US,D,19940425,000000,0.9224,0.9611,0.9153,0.9611,103462916,0
AAPL.US,D,19940426,000000,0.9772,0.9772,0.9611,0.9684,47297790,0
AAPL.US,D,19940428,000000,0.9611,0.9684,0.9224,0.9376,28937368,0
AAPL.US,D,19940429,000000,0.93,0.9449,0.9224,0.93,27298735,0
AAPL.US,D,19940502,000000,0.93,0.9684,0.93,0.9611,35488662,0
AAPL.US,D,19940503,000000,0.9611,0.9684,0.9153,0.9376,38275638,0
AAPL.US,D,19940504,000000,0.9611,1.0304,0.9449,1.0232,104878995,0
AAPL.US,D,19940505,000000,1.0304,1.0466,0.9996,1.0193,83041302,0
AAPL.US,D,19940506,000000,0.9996,1.0154,0.9684,1.0019,54081356,0
AAPL.US,D,19940509,000000,0.9996,1.007,0.9537,0.9684,40456184,0
AAPL.US,D,19940510,000000,0.9845,0.9919,0.9611,0.9611,42291573,0
AAPL.US,D,19940511,000000,0.9611,0.9772,0.9224,0.9376,41910946,0
AAPL.US,D,19940512,000000,0.9449,0.9537,0.9153,0.92,30846942,0
AAPL.US,D,19940513,000000,0.9224,0.9449,0.9064,0.93,26672943,0
AAPL.US,D,19940516,000000,0.93,0.9449,0.9153,0.9153,38991735,0
AAPL.US,D,19940517,000000,0.9224,0.9224,0.8917,0.9101,51871779,0
AAPL.US,D,19940518,000000,0.9224,0.9537,0.9064,0.9497,35672532,0
AAPL.US,D,19940519,000000,0.9537,1.007,0.9449,0.9956,78793109,0
AAPL.US,D,19940520,000000,0.9845,0.9996,0.9611,0.9624,28266423,0
AAPL.US,D,19940523,000000,0.9611,0.9684,0.93,0.9449,34546791,0
